created_at,entry_id,field1,field2,field3,field4,field5,field6,field7,field8,latitude,longitude,elevation,status
2020-07-15 13:39:56 EAT,1,   45.62,   56.75,   42.68,   53.22,0.333437,32.568516,    3.75,"0.333437,32.568516,1237.30,0.04,12.00,84.00,42.00,26.00,35.38,32.33,879.55",,,,
2020-07-15 13:45:30 EAT,2,   42.47,   51.85,   42.57,   50.53,0.333481,32.568504,    3.73,"0.333481,32.568504,1240.80,0.10,12.00,76.00,44.00,20.00,35.39,33.83,879.49",,,,
2020-07-15 13:58:27 EAT,3,   46.17,   56.85,   45.20,   56.03,0.333502,32.568539,    4.02,"0.333502,32.568539,1250.00,0.04,12.00,79.00,43.00,18.00,33.56,37.78,879.42",,,,
2020-07-15 14:09:22 EAT,4,   39.53,   48.02,   38.33,   47.13,0.333471,32.568542,    4.05,"0.333471,32.568542,1242.00,0.03,12.00,85.00,42.00,19.00,35.13,35.35,879.26",,,,
2020-07-15 14:13:29 EAT,5,   36.15,   43.60,   32.72,   37.70,0.333491,32.568550,    4.06,"0.333491,32.568550,1240.40,0.05,12.00,81.00,43.00,17.00,34.10,36.41,879.25",,,,
2020-07-15 14:46:39 EAT,6,   36.33,   42.32,   33.85,   37.92,0.333486,32.568527,    4.11,"0.333486,32.568527,1240.60,0.01,11.00,86.00,43.00,19.00,37.09,30.11,878.78",,,,
2020-07-15 14:50:49 EAT,7,   32.57,   35.88,   33.82,   39.67,0.333527,32.568550,    4.11,"0.333527,32.568550,1237.00,0.01,12.00,86.00,47.00,17.00,36.61,31.56,878.70",,,,
2020-07-15 15:07:28 EAT,8,   38.45,   46.17,   36.65,   43.82,0.333511,32.568550,    4.12,"0.333511,32.568550,1237.40,0.03,12.00,75.00,45.00,16.00,35.42,33.25,878.31",,,,
2020-07-15 15:11:36 EAT,9,   39.00,   46.93,   37.63,   45.48,0.333507,32.568562,    4.12,"0.333507,32.568562,1237.50,0.06,12.00,73.00,44.00,16.00,35.51,34.10,878.32",,,,
2020-07-15 15:15:47 EAT,10,   40.18,   48.05,   38.15,   46.88,0.333521,32.568523,    4.13,"0.333521,32.568523,1229.90,0.01,12.00,81.00,44.00,16.00,35.72,33.78,878.33",,,,
2020-07-15 15:19:58 EAT,11,   39.08,   46.60,   37.03,   44.63,0.333507,32.568504,    4.13,"0.333507,32.568504,1224.30,0.07,12.00,80.00,44.00,16.00,35.45,32.25,878.31",,,,
2020-07-15 15:24:12 EAT,12,   37.72,   43.63,   36.20,   43.55,0.333525,32.568546,    4.13,"0.333525,32.568546,1236.10,0.03,12.00,79.00,44.00,16.00,34.83,33.96,878.22",,,,
2020-07-15 15:28:25 EAT,13,   35.62,   41.88,   35.82,   44.03,0.333496,32.568546,    4.13,"0.333496,32.568546,1235.20,0.29,12.00,74.00,44.00,16.00,34.06,34.88,878.17",,,,
2020-07-15 15:32:32 EAT,14,   34.12,   40.38,   31.62,   35.02,0.333502,32.568604,    4.13,"0.333502,32.568604,1240.20,0.03,12.00,75.00,43.00,15.00,34.14,33.60,878.12",,,,
2020-07-15 15:36:44 EAT,15,   35.15,   40.80,   32.28,   36.77,0.333497,32.568565,    4.13,"0.333497,32.568565,1237.30,0.17,12.00,72.00,43.00,15.00,34.37,36.73,878.14",,,,
2020-07-15 15:48:54 EAT,16,   35.95,   42.25,   33.40,   38.15,0.333493,32.568581,    4.14,"0.333493,32.568581,1243.10,0.02,12.00,88.00,43.00,16.00,35.88,30.51,878.05",,,,
2020-07-15 16:02:26 EAT,17,   37.70,   44.27,   36.82,   45.55,0.333482,32.568565,    4.14,"0.333482,32.568565,1227.60,0.01,12.00,83.00,44.00,16.00,37.38,30.34,878.01",,,,
