Time,ConcRT(ug/m3),ConcHR(ug/m3),ConcS(ug/m3),Flow(lpm),WS(m/s),WD(Deg),AT(C),RH(%),BP(mmHg),FT(C),FRH(%),Status
2020-07-04 12:00:00,+69705.9,+00028.4,+00033.1,+14.91,0,0,+027.7,47,659.1,+030.3,34,384
2020-07-04 14:00:00,+96000.6,+00018.0,+00021.0,+13.21,0,0,+027.6,47,658.4,+032.7,29,384
2020-07-04 15:00:00,+00020.1,+00022.3,+00026.0,+16.59,0,0,+027.8,45,658.1,+033.0,25,0
2020-07-04 16:00:00,+00024.6,+00026.8,+00031.2,+16.60,0,0,+026.8,44,657.8,+032.4,24,0
2020-07-04 17:00:00,+00035.1,+00034.6,+00040.1,+16.62,0,0,+025.6,47,657.4,+030.7,27,0
2020-07-04 18:00:00,+00035.7,+00041.2,+00047.7,+16.59,0,0,+025.0,52,657.6,+029.6,31,0
2020-07-04 19:00:00,+00040.9,+00042.6,+00049.1,+16.59,0,0,+024.1,54,657.6,+028.5,33,0
2020-07-04 20:00:00,+00045.1,+00053.7,+00061.7,+16.59,0,0,+023.0,60,657.7,+027.0,39,0
2020-07-04 21:00:00,+00052.7,+00055.3,+00063.4,+16.59,0,0,+022.4,63,657.9,+026.2,41,0
2020-07-04 22:00:00,+00044.4,+00048.5,+00055.4,+16.59,0,0,+021.9,65,658.2,+025.6,43,0
2020-07-04 23:00:00,+00051.0,+00051.1,+00058.3,+16.59,0,0,+021.6,67,658.4,+025.3,44,0
2020-07-05 0:00:00,+00047.6,+00047.7,+00054.4,+16.58,0,0,+021.2,68,658.3,+025.0,45,0
2020-07-05 1:00:00,+00039.5,+00042.9,+00048.9,+16.59,0,0,+021.2,70,658.2,+024.9,46,0
2020-07-05 2:00:00,+00041.2,+00046.4,+00053.0,+16.59,0,0,+021.3,71,658,+025.5,45,0
2020-07-05 3:00:00,+00047.8,+00049.0,+00055.9,+16.58,0,0,+021.1,73,657.5,+025.6,46,0
2020-07-05 4:00:00,+00034.7,+00036.6,+00041.8,+16.59,0,0,+021.5,73,657.2,+026.0,46,0
2020-07-05 5:00:00,+00033.4,+00033.3,+00038.1,+16.59,0,0,+021.4,75,657.1,+026.2,47,0
2020-07-05 6:00:00,+00023.0,+00026.3,+00030.1,+16.59,0,0,+021.8,76,657.3,+026.8,46,0
2020-07-05 7:00:00,+00025.4,+00033.5,+00038.3,+16.59,0,0,+021.7,75,657.5,+027.2,45,0
2020-07-05 8:00:00,+00040.6,+00044.0,+00050.2,+16.59,0,0,+020.8,79,657.6,+026.6,46,0
2020-07-05 9:00:00,+00038.6,+00041.8,+00048.0,+16.59,0,0,+023.1,72,658,+027.8,44,0
2020-07-05 10:00:00,+00071.7,+00079.3,+00091.6,+16.58,0,0,+024.9,65,658.3,+030.4,37,0
2020-07-05 11:00:00,+00056.0,+00058.8,+00068.1,+16.59,0,0,+025.6,63,658.4,+030.9,36,0
2020-07-05 12:00:00,+00055.7,+00055.9,+00065.0,+16.59,0,0,+026.6,59,658.3,+031.4,34,0
2020-07-05 13:00:00,+00046.1,+00042.8,+00049.7,+16.59,0,0,+026.8,54,658.1,+032.3,30,0
2020-07-05 14:00:00,+00026.9,+00027.7,+00032.3,+16.60,0,0,+027.3,47,657.7,+032.6,26,0
2020-07-05 15:00:00,+00036.2,+00037.8,+00044.1,+16.60,0,0,+027.2,50,657.2,+033.1,27,0
2020-07-05 16:00:00,+00030.4,+00028.9,+00033.7,+16.60,0,0,+027.3,51,656.8,+032.8,28,0
2020-07-05 17:00:00,+00030.9,+00035.1,+00040.9,+16.59,0,0,+027.1,51,656.5,+033.1,27,0
2020-07-05 18:00:00,+00027.4,+00031.3,+00036.3,+16.62,0,0,+025.8,52,656.4,+031.9,28,0
2020-07-05 19:00:00,+00038.1,+00042.4,+00048.9,+16.63,0,0,+024.0,58,656.5,+029.3,34,0
2020-07-05 20:00:00,+00055.2,+00060.1,+00069.0,+16.63,0,0,+022.8,63,656.7,+027.0,40,0
2020-07-05 21:00:00,+00055.9,+00057.1,+00065.5,+16.60,0,0,+022.1,70,657.1,+025.8,46,0
2020-07-05 22:00:00,+00044.9,+00044.2,+00050.7,+16.59,0,0,+022.3,70,657.4,+026.0,46,0
2020-07-05 23:00:00,+00037.7,+00039.7,+00045.5,+16.59,0,0,+022.2,70,657.4,+026.2,45,0
